Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr
360ONE,2018,Financial Services,0.3294939257289439,0.7281944017611309,,,
360ONE,2019,Financial Services,-0.1513604536347732,0.6251285476066587,-0.10306585415447223,,
360ONE,2020,Financial Services,-0.10958673712715064,0.6787568706267794,0.05362832302012066,,
360ONE,2021,Financial Services,-0.010695915366438378,0.5809334180126675,-0.09782345261411185,,
360ONE,2022,Financial Services,-0.032704660316277334,0.5410326757807951,-0.039900742231872455,,
360ONE,2023,Financial Services,0.17697179178086112,0.6061876324201056,0.06515495663931059,,
360ONE,2024,Financial Services,0.04939540939874398,0.6266841599644312,0.020496527544325516,0.5690384615384616,
360ONE,2025,Financial Services,0.1411077268931007,0.5645523144965432,-0.06213184546788797,0.6139587635846565,0.031763450189812324
360ONE,2026,Financial Services,0.11954651890834238,0.5857234928603126,0.02117117836376936,0.6301168755964082,0.03164777712978601
3MINDIA,2018,Diversified,0.12860296027005974,0.004358175365705878,,,
3MINDIA,2019,Diversified,0.05343857396427358,0.006514596472676461,0.002156421106970583,,
3MINDIA,2020,Diversified,0.03252142230618717,0.017766176371364954,0.011251579898688493,,
3MINDIA,2021,Diversified,-0.0598486905623944,0.008723298334540188,-0.009042878036824766,,
3MINDIA,2022,Diversified,-0.06738635040503003,0.008173788652505863,-0.000549509682034325,0.1717974280736735,
3MINDIA,2023,Diversified,-0.12166134938587249,0.009854775605838448,0.0016809869533325854,0.1775784574997017,0.004087805109383509
3MINDIA,2024,Diversified,-0.14958346417422466,0.005596911539243032,-0.004257864066595417,0.19631749429087403,0.012817991576825484
AADHARHFC,2019,Financial Services,0.286436714195147,0.8644546953405773,,,
AADHARHFC,2020,Financial Services,0.15964163781127036,0.7798105490261404,-0.08464414631443684,,
AADHARHFC,2021,Financial Services,0.11316319455908086,0.7611468776710284,-0.018663671355112044,,
AADHARHFC,2022,Financial Services,0.09402088131707143,0.7425527963142924,-0.018594081356736014,,
AADHARHFC,2023,Financial Services,0.10232819280269545,0.7313596840941627,-0.011193112220129642,,
AADHARHFC,2024,Financial Services,0.14610004781939878,0.7311507505236304,-0.00020893357053231032,0.7660385401386642,
AADHARHFC,2025,Financial Services,0.14243564934544864,0.7028394465271014,-0.028311303996529036,0.7734934391276214,0.005271409628152321
AADHARHFC,2026,Financial Services,0.11278812115788271,0.6841137677321821,-0.018725678794919265,0.7501636636485411,0.011915435692247454
AARTIIND,2017,Chemicals,-0.044094825738414715,0.44693559680484696,,,
AARTIIND,2018,Chemicals,-0.00044176651956296943,0.47433427607219464,0.02739867926734768,,
AARTIIND,2019,Chemicals,-0.041733100714585684,0.409884703496451,-0.06444957257574363,,
AARTIIND,2020,Chemicals,-0.08937702329253848,0.3312972759573628,-0.0785874275390882,,
AARTIIND,2021,Chemicals,-0.04570199223207462,0.3738654327320694,0.0425681567747066,,
AARTIIND,2022,Chemicals,0.08496323253115333,0.3295188066271882,-0.044346626104881215,,
AARTIIND,2023,Chemicals,-0.09014322506963139,0.33881177965015324,0.009292973022965056,,
AARTIIND,2024,Chemicals,-0.11503316306102615,0.3581422754140563,0.019330495763903055,0.12533912099837222,
AARTIIND,2025,Chemicals,-0.09939425132631244,0.3462269379998416,-0.011915337414214688,0.13848144952545297,0.009293029622080208
AARTIIND,2026,Chemicals,-0.04705181790089344,0.37340181335209993,0.02717487535225832,0.16003351487222456,0.017516246202212944
AAVAS,2018,Financial Services,0.25394424835274726,0.6819329415899764,,,
AAVAS,2019,Financial Services,0.2580355080061846,0.649247365334376,-0.032685576255600424,,
AAVAS,2020,Financial Services,0.18561766115582673,0.7029056958115615,0.05365833047718549,,
AAVAS,2021,Financial Services,0.12946731032173453,0.7118586935290343,0.008952997717472821,0.7167668865666414,
AAVAS,2022,Financial Services,0.11275072634511128,0.7272055613392887,0.015346867810254405,0.7154143471813695,0.0009563897711476922
