Company,Year,Industry,Accruals_Ratio,Leverage_Ratio,Leverage_Change_YoY,Operating_Margin,Margin_Volatility_3yr,Anomaly_Score,Is_Anomaly
KPITTECH,2018,Information Technology,-2.8888888888888893,,-0.0050342367827565,,0.0142750165362883,0.30354304613896455,1
HONASA,2021,Fast Moving Consumer Goods,-4.500231297911711,6.456549035157283,-0.0020996335843381,,0.01419611487274645,0.2839454640078313,1
HONASA,2022,Fast Moving Consumer Goods,-0.027858728167519,1.7876773135192512,-4.668871721638032,,0.01419611487274645,0.28066075687065545,1
FIRSTCRY,2019,Consumer Services,-0.4305157465065697,0.0041950957900068,-2.4862632062385432,,0.0123079908665588,0.27951230533641946,1
ABREL,2019,Realty,0.893219386507439,0.1652115611654447,-0.2577039782665548,,0.03750103869543505,0.268626856646604,1
OLAELEC,2025,Automobile and Auto Components,0.1719187358916478,0.3210835214446952,-0.4136829615213014,-0.5765957446808511,0.0964524459036806,0.26822258022906953,1
PATANJALI,2018,Fast Moving Consumer Goods,-0.8490192480666606,1.0366856525493648,0.598715398313518,,0.01419611487274645,0.2412750885368758,1
ZYDUSWELL,2026,Fast Moving Consumer Goods,-0.0105496619201366,0.3143112297471025,0.2850807232195253,0.1681976339596381,0.0713337488424229,0.2400040086515059,1
NAVA,2024,Power,-0.3023441265480813,0.0427836192469917,-0.2338442106221016,0.5339410556801861,0.02714301304713805,0.23795806912218564,1
ONESOURCE,2025,Healthcare,-0.0027229843385955,0.1007687043557301,-0.2935164889082605,0.0596541985258662,0.2133823824184146,0.2322050048418851,1
SUZLON,2023,Capital Goods,0.4268998330732269,0.3508576270327227,-0.6476535376874412,,0.0147344734730676,0.2099185453250818,1
PWL,2026,Consumer Services,-0.1186444872863693,0.1370505939974989,-0.3022688975645227,-0.054091750083021,0.1598656718499651,0.20751896307256967,1
MMTC,2026,Services,0.2537671637093284,0.0008655624188535,0.000164100560842,-29.69117647058824,46.52122463233111,0.20180818639352427,1
ABREL,2025,Realty,0.0740503687381849,0.3031285111422269,0.0648387331544724,-1.1166687199704324,0.7274502927786042,0.19209878736591113,1
TATAINVEST,2025,Financial Services,-0.0037547016286542,,-0.0006671917563533,0.8230317679558011,1.6188071635674677,0.191281270254261,1
SWIGGY,2025,Consumer Services,0.0726076948372246,0.1119368628740545,-1.449160519507881,-0.1273584905660377,0.0385410226143005,0.18966102173636068,1
SWANCORP,2025,Chemicals,0.0381512110853824,0.2075561436395045,-0.0759297269405315,0.021964835394167,0.258717904810386,0.18878795587366048,1
CHAMBLFERT,2021,Chemicals,-0.5161461896475837,0.3841396587580964,-0.3117365979793097,,0.02157821562095625,0.18594667258412878,1
TATAINVEST,2026,Financial Services,-0.0041614449536507,1.5925459051357156e-05,-0.0006671917563533,0.9225900039562178,1.3514076198511704,0.1857346795516157,1
ATHERENERG,2026,Automobile and Auto Components,-0.0514496648847717,,-0.0008662445049587,-0.0273477303356013,0.1279898597257246,0.182541596732811,1
ENRIN,2025,Capital Goods,-0.3517160457612202,0.0154632694967103,-0.6619560853419992,0.2411429169501282,0.0142128466382483,0.18111290327648666,1
FIVESTAR,2018,Financial Services,0.4598822773600959,0.474007257826472,-0.1812580612335651,,0.0213614188746349,0.18080728659505596,1
OLECTRA,2018,Automobile and Auto Components,0.3668558384325163,0.2296059097682381,-0.1662912120933662,,0.0091703331938402,0.17747658591966908,1
OLAELEC,2026,Automobile and Auto Components,0.0563687724704673,0.3547765793528505,0.0336930579081553,-0.3626373626373626,0.1083197155568825,0.17729850444459172,1
MMTC,2020,Services,0.3582637182637183,0.6005288405288405,0.3810015540193492,,0.01447484218491725,0.17483897136451798,1
OFSS,2026,Information Technology,-0.12381405615577,0.0032907726734237,-0.0012387436815075,0.6004415717394087,0.1061623327715896,0.17431086305362697,1
MMTC,2025,Services,0.1188747861835012,0.0007014618580114,-0.0425054343195792,-67.67647058823529,38.582241652530456,0.17379378945528012,1
INDIACEM,2025,Construction Materials,0.0182711875154932,0.0839624300283057,-0.1620742556278793,0.0709529194263457,0.1931891744045221,0.17043660726583765,1
NHPC,2026,Power,-0.0183135577740979,0.4360313322453942,0.050786551393112,0.6176466726710799,0.266015325214359,0.1696877102997184,1
NAUKRI,2022,Consumer Services,0.5884338530519145,0.0031279780968301,-0.0072163124396299,,0.0123079908665588,0.1696865199185994,1
PIRAMALFIN,2022,Financial Services,-0.1019695847406624,0.5828230241652302,-0.6942221896009216,,0.0213614188746349,0.16852097005626931,1
SWANCORP,2026,Chemicals,-0.0012221170705861,0.1537348200860318,-0.0538213235534726,-0.0038471023427866,0.2041992749906017,0.16766083430827983,1
MAPMYINDIA,2022,Information Technology,0.1124037738033223,0.0368312399915108,-0.3116744963918804,,0.0142750165362883,0.1608984652992672,1
IFCI,2025,Financial Services,0.0376500023130357,0.144362198853434,-0.1393412577744521,0.2855920677400956,0.1805335273706256,0.15865110572973207,1
MEESHO,2026,Consumer Services,0.4733297498972397,0.0079210800897966,-0.0001427552623785,-0.0605040387199991,0.0571908488567212,0.1571677834905092,1
MMTC,2023,Services,0.2198150580084885,0.0550693192601232,-0.4938969996057856,,0.01447484218491725,0.15683089716429577,1
ENGINERSIN,2025,Construction,0.0437092985051666,0.004204752852072,-0.0027720011613574,0.2910414463246959,0.1152576742140896,0.1565702974008687,1
APTUS,2018,Financial Services,0.3835292030083398,0.5733726437628817,0.2117014809061444,,0.0213614188746349,0.15635796627340393,1
JPPOWER,2020,Power,-0.1787697349691436,0.3375579187579439,-0.284926038525892,,0.02714301304713805,0.15284062125828357,1
HONASA,2024,Fast Moving Consumer Goods,-0.1276629483481029,0.079877777303416,-1.8310497442373848,0.0504917779366582,0.01419611487274645,0.15272298907033804,1
ONESOURCE,2026,Healthcare,0.0020073057158273,0.183183698923631,0.0824149945679008,0.274709367066055,0.1553662167582306,0.15190872499287467,1
PIRAMALFIN,2021,Financial Services,-0.3153321851212061,1.277045213766152,0.2236536534816955,,0.0213614188746349,0.1497875572080828,1
EMAMILTD,2026,Fast Moving Consumer Goods,-0.1731309930009319,0.0422711336088405,0.0168003828471859,0.2161064654882074,0.0638951659915627,0.14898225318619046,1
VBL,2026,Fast Moving Consumer Goods,-0.0395532258176202,,-0.0020996335843381,0.276734865812432,0.0707818796596168,0.1478325553445758,1
TMPV,2025,Automobile and Auto Components,-0.1766386452080122,0.1897748645128431,-0.1005036311612864,0.0125377988246705,0.0689916304384593,0.1444106431581027,1
GROWW,2025,Financial Services,0.1497729720073244,0.0605735496260861,0.0492128186680007,0.5919313855287937,0.317426170441749,0.141562655291546,1
JSWCEMENT,2026,Construction Materials,-0.0701807193320398,0.3103441084607957,-0.2420034737618155,0.1574290369698535,0.0503586659687976,0.13908417322831823,1
NHPC,2025,Power,-0.046816115372479,0.3852447808522822,0.0323453759543842,0.0952839831947152,0.2465109870128966,0.13414800320369036,1
COHANCE,2026,Healthcare,-0.0685245329142657,0.0699301554042256,-0.018736568435779,0.0027471226258703,0.1741392988272477,0.13324614788912448,1
TATAELXSI,2013,Information Technology,-0.0446817248459959,0.1601916495550992,0.0581057013153048,0.2176194283429942,0.0795048878600427,0.13263154158664325,1
TEGA,2026,Capital Goods,-0.1064026264805856,0.0924372672536804,-0.0653655091943808,0.0322494545792136,0.0957481789475884,0.12961825409797378,1
