symbol,company_name,status,data_type,timestamp,notes
KPITTECH,KPIT Technologies Ltd.,success,consolidated,2026-09-15T13:30:52.614812,32 KB
KAJARIACER,Kajaria Ceramics Ltd.,success,consolidated,2026-09-15T13:31:12.966302,33 KB
KPIL,Kalpataru Projects International Ltd.,success,consolidated,2026-09-15T13:31:33.503295,33 KB
KALYANKJIL,Kalyan Jewellers India Ltd.,success,consolidated,2026-09-15T13:31:53.763084,32 KB
KARURVYSYA,Karur Vysya Bank Ltd.,success,auto,2026-09-15T15:06:57.285862,32 KB
KAYNES,Kaynes Technology India Ltd.,success,consolidated,2026-09-15T13:32:49.516954,32 KB
KEC,Kec International Ltd.,success,consolidated,2026-09-15T13:33:09.772751,33 KB
KFINTECH,Kfin Technologies Ltd.,success,consolidated,2026-09-15T13:33:30.044036,32 KB
KIRLOSENG,Kirloskar Oil Eng Ltd.,success,consolidated,2026-09-15T13:33:50.304043,33 KB
KOTAKBANK,Kotak Mahindra Bank Ltd.,success,consolidated,2026-09-15T13:34:10.703968,33 KB
KIMS,Krishna Institute of Medical Sciences Ltd.,success,consolidated,2026-09-15T13:34:31.069008,32 KB
LTF,L&T Finance Ltd.,success,consolidated,2026-09-15T13:34:51.444819,33 KB
LTTS,L&T Technology Services Ltd.,success,consolidated,2026-09-15T13:35:11.643092,32 KB
LGEINDIA,LG Electronics India Ltd.,success,auto,2026-09-15T15:07:19.490034,32 KB
LICHSGFIN,LIC Housing Finance Ltd.,success,consolidated,2026-09-15T13:36:07.552523,33 KB
LTFOODS,LT Foods Ltd.,success,consolidated,2026-09-15T13:36:27.999152,33 KB
LTM,LTM Ltd.,success,consolidated,2026-09-15T13:36:48.412449,32 KB
LT,Larsen & Toubro Ltd.,success,consolidated,2026-09-15T13:37:08.779764,33 KB
LATENTVIEW,Latent View Analytics Ltd.,success,consolidated,2026-09-15T13:37:29.271370,32 KB
LAURUSLABS,Laurus Labs Ltd.,success,consolidated,2026-09-15T13:37:49.560194,33 KB
THELEELA,Leela Palaces Hotels & Resorts Ltd.,success,consolidated,2026-09-15T13:38:09.645091,31 KB
LEMONTREE,Lemon Tree Hotels Ltd.,success,consolidated,2026-09-15T13:38:29.833200,32 KB
LENSKART,Lenskart Solutions Ltd.,success,consolidated,2026-09-15T13:38:49.893065,32 KB
LICI,Life Insurance Corporation of India,success,consolidated,2026-09-15T13:39:10.045401,32 KB
LINDEINDIA,Linde India Ltd.,success,consolidated,2026-09-15T13:39:30.328066,33 KB
LLOYDSME,Lloyds Metals And Energy Ltd.,success,consolidated,2026-09-15T13:39:50.689184,33 KB
LODHA,Lodha Developers Ltd.,success,consolidated,2026-09-15T13:40:10.833388,32 KB
LUPIN,Lupin Ltd.,success,consolidated,2026-09-15T13:40:31.096527,33 KB
MMTC,MMTC Ltd.,success,consolidated,2026-09-15T13:40:51.349751,32 KB
MRF,MRF Ltd.,success,consolidated,2026-09-15T13:41:11.772113,33 KB
MGL,Mahanagar Gas Ltd.,success,consolidated,2026-09-15T13:41:31.761415,31 KB
M&MFIN,Mahindra & Mahindra Financial Services Ltd.,success,consolidated,2026-09-15T13:41:52.080265,33 KB
M&M,Mahindra & Mahindra Ltd.,success,consolidated,2026-09-15T13:42:12.621413,33 KB
MANAPPURAM,Manappuram Finance Ltd.,success,consolidated,2026-09-15T13:42:32.879519,33 KB
MRPL,Mangalore Refinery & Petrochemicals Ltd.,success,consolidated,2026-09-15T13:42:53.070673,33 KB
MANKIND,Mankind Pharma Ltd.,success,consolidated,2026-09-15T13:43:13.251136,32 KB
MARICO,Marico Ltd.,success,consolidated,2026-09-15T13:43:33.708683,32 KB
MARUTI,Maruti Suzuki India Ltd.,success,consolidated,2026-09-15T13:43:54.247339,33 KB
MFSL,Max Financial Services Ltd.,success,consolidated,2026-09-15T13:44:14.480359,32 KB
MAXHEALTH,Max Healthcare Institute Ltd.,success,consolidated,2026-09-15T13:44:34.807138,33 KB
MAZDOCK,Mazagoan Dock Shipbuilders Ltd.,success,consolidated,2026-09-15T13:44:55.079176,33 KB
MEESHO,Meesho Ltd.,success,consolidated,2026-09-15T13:45:15.088494,31 KB
MINDACORP,Minda Corporation Ltd.,success,consolidated,2026-09-15T13:45:35.309237,32 KB
MSUMI,Motherson Sumi Wiring India Ltd.,success,auto,2026-09-15T15:07:41.600523,32 KB
MOTILALOFS,Motilal Oswal Financial Services Ltd.,success,consolidated,2026-09-15T13:46:31.363733,33 KB
MPHASIS,MphasiS Ltd.,success,consolidated,2026-09-15T13:46:51.655377,33 KB
MCX,Multi Commodity Exchange of India Ltd.,success,consolidated,2026-09-15T13:47:12.082770,32 KB
MUTHOOTFIN,Muthoot Finance Ltd.,success,consolidated,2026-09-15T13:47:32.413631,33 KB
NATCOPHARM,NATCO Pharma Ltd.,success,consolidated,2026-09-15T13:47:52.803972,32 KB
NBCC,NBCC (India) Ltd.,success,consolidated,2026-09-15T13:48:13.021632,33 KB
NCC,NCC Ltd.,success,consolidated,2026-09-15T13:48:33.392562,33 KB
NHPC,NHPC Ltd.,success,consolidated,2026-09-15T13:48:53.700504,33 KB
NLCINDIA,NLC India Ltd.,success,consolidated,2026-09-15T13:49:14.106348,33 KB
NMDC,NMDC Ltd.,success,consolidated,2026-09-15T13:49:34.341745,33 KB
NSLNISP,NMDC Steel Ltd.,success,auto,2026-09-15T15:08:03.361478,32 KB
NTPCGREEN,NTPC Green Energy Ltd.,success,consolidated,2026-09-15T13:50:30.269587,31 KB
NTPC,NTPC Ltd.,success,consolidated,2026-09-15T13:50:50.648489,33 KB
NH,Narayana Hrudayalaya Ltd.,success,consolidated,2026-09-15T13:51:10.968314,33 KB
NATIONALUM,National Aluminium Co. Ltd.,success,consolidated,2026-09-15T13:51:31.404379,33 KB
NAVA,Nava Ltd.,success,consolidated,2026-09-15T13:51:51.668756,33 KB
NAVINFLUOR,Navin Fluorine International Ltd.,success,consolidated,2026-09-15T13:52:12.095422,33 KB
NESTLEIND,Nestle India Ltd.,success,consolidated,2026-09-15T13:52:32.085102,31 KB
NETWEB,Netweb Technologies India Ltd.,success,auto,2026-09-15T15:08:25.718505,32 KB
NEULANDLAB,Neuland Laboratories Ltd.,success,consolidated,2026-09-15T13:53:28.060484,33 KB
NEWGEN,Newgen Software Technologies Ltd.,success,consolidated,2026-09-15T13:53:48.463025,32 KB
NAM-INDIA,Nippon Life India Asset Management Ltd.,success,consolidated,2026-09-15T13:54:08.813340,32 KB
NIVABUPA,Niva Bupa Health Insurance Company Ltd.,failed,-,2026-09-15T15:09:02.658781,retry failed on all URL patterns
NUVAMA,Nuvama Wealth Management Ltd.,success,consolidated,2026-09-15T13:55:04.628590,32 KB
NUVOCO,Nuvoco Vistas Corporation Ltd.,success,consolidated,2026-09-15T13:55:24.843480,33 KB
OBEROIRLTY,Oberoi Realty Ltd.,success,consolidated,2026-09-15T13:55:45.272067,33 KB
ONGC,Oil & Natural Gas Corporation Ltd.,success,consolidated,2026-09-15T13:56:05.730267,33 KB
OIL,Oil India Ltd.,success,consolidated,2026-09-15T13:56:26.197515,33 KB
OLAELEC,Ola Electric Mobility Ltd.,success,consolidated,2026-09-15T13:56:46.370654,32 KB
OLECTRA,Olectra Greentech Ltd.,success,consolidated,2026-09-15T13:57:06.706231,32 KB
PAYTM,One 97 Communications Ltd.,success,consolidated,2026-09-15T13:57:26.974906,32 KB
ONESOURCE,Onesource Specialty Pharma Ltd.,success,consolidated,2026-09-15T13:57:46.970974,32 KB
OFSS,Oracle Financial Services Software Ltd.,success,consolidated,2026-09-15T13:58:07.293158,32 KB
POLICYBZR,PB Fintech Ltd.,success,consolidated,2026-09-15T13:58:27.375688,32 KB
PCBL,PCBL Chemical Ltd.,success,consolidated,2026-09-15T13:58:47.778609,33 KB
PGEL,PG Electroplast Ltd.,success,consolidated,2026-09-15T13:59:07.932802,32 KB
PIIND,PI Industries Ltd.,success,consolidated,2026-09-15T13:59:28.374490,32 KB
PNBHOUSING,PNB Housing Finance Ltd.,success,consolidated,2026-09-15T13:59:48.566761,32 KB
PTCIL,PTC Industries Ltd.,success,consolidated,2026-09-15T14:00:08.801822,32 KB
PVRINOX,PVR INOX Ltd.,success,consolidated,2026-09-15T14:00:29.135527,32 KB
PAGEIND,Page Industries Ltd.,success,auto,2026-09-15T15:09:25.125675,33 KB
PARADEEP,Paradeep Phosphates Ltd.,success,consolidated,2026-09-15T14:01:24.805104,32 KB
PATANJALI,Patanjali Foods Ltd.,success,consolidated,2026-09-15T14:01:45.055404,33 KB
PERSISTENT,Persistent Systems Ltd.,success,consolidated,2026-09-15T14:02:05.483864,33 KB
PETRONET,Petronet LNG Ltd.,success,consolidated,2026-09-15T14:02:25.863394,33 KB
PFIZER,Pfizer Ltd.,success,consolidated,2026-09-15T14:02:45.849183,31 KB
PHOENIXLTD,Phoenix Mills Ltd.,success,consolidated,2026-09-15T14:03:06.196261,33 KB
PWL,Physicswallah Ltd.,success,consolidated,2026-09-15T14:03:26.257485,31 KB
PIDILITIND,Pidilite Industries Ltd.,success,consolidated,2026-09-15T14:03:46.634721,33 KB
PINELABS,Pine Labs Ltd.,success,consolidated,2026-09-15T14:04:06.860268,32 KB
PIRAMALFIN,Piramal Finance Ltd.,success,consolidated,2026-09-15T14:04:27.104554,33 KB
PPLPHARMA,Piramal Pharma Ltd.,success,consolidated,2026-09-15T14:04:47.320822,32 KB
POLYMED,Poly Medicure Ltd.,success,consolidated,2026-09-15T14:05:07.598850,33 KB
POLYCAB,Polycab India Ltd.,success,consolidated,2026-09-15T14:05:27.949492,33 KB
POONAWALLA,Poonawalla Fincorp Ltd.,success,consolidated,2026-09-15T14:05:48.436424,33 KB
PFC,Power Finance Corporation Ltd.,success,consolidated,2026-09-15T14:06:08.724760,33 KB
POWERGRID,Power Grid Corporation of India Ltd.,success,consolidated,2026-09-15T14:06:29.070924,33 KB
PREMIERENE,Premier Energies Ltd.,success,consolidated,2026-09-15T14:06:49.315618,32 KB
PRESTIGE,Prestige Estates Projects Ltd.,success,consolidated,2026-09-15T14:07:09.653489,32 KB
PFOCUS,Prime Focus Ltd.,success,consolidated,2026-09-15T14:07:29.949477,32 KB
PNB,Punjab National Bank,success,consolidated,2026-09-15T14:07:50.228975,33 KB
RRKABEL,R R Kabel Ltd.,success,consolidated,2026-09-15T14:08:10.469333,32 KB
RBLBANK,RBL Bank Ltd.,success,consolidated,2026-09-15T14:08:30.697265,33 KB
RECLTD,REC Ltd.,success,consolidated,2026-09-15T14:08:50.869536,33 KB
RHIM,RHI MAGNESITA INDIA LTD.,success,consolidated,2026-09-15T14:09:11.131334,32 KB
RITES,RITES Ltd.,success,consolidated,2026-09-15T14:09:31.451045,33 KB
RADICO,Radico Khaitan Ltd,success,consolidated,2026-09-15T14:09:51.841489,33 KB
RVNL,Rail Vikas Nigam Ltd.,success,consolidated,2026-09-15T14:10:12.137151,33 KB
RAILTEL,Railtel Corporation Of India Ltd.,success,consolidated,2026-09-15T14:10:32.320021,32 KB
RAINBOW,Rainbow Childrens Medicare Ltd.,success,consolidated,2026-09-15T14:10:52.479268,32 KB
RKFORGE,Ramkrishna Forgings Ltd.,success,consolidated,2026-09-15T14:11:12.797944,33 KB
REDINGTON,Redington Ltd.,success,consolidated,2026-09-15T14:11:33.096370,33 KB
RELIANCE,Reliance Industries Ltd.,success,consolidated,2026-09-15T14:11:53.477424,33 KB
RPOWER,Reliance Power Ltd.,success,consolidated,2026-09-15T14:12:13.799326,33 KB
SBFC,SBFC Finance Ltd.,success,consolidated,2026-09-15T14:12:33.896164,31 KB
SBICARD,SBI Cards and Payment Services Ltd.,failed,-,2026-09-15T15:10:02.293812,retry failed on all URL patterns
SBILIFE,SBI Life Insurance Company Ltd.,failed,-,2026-09-15T15:10:39.186079,retry failed on all URL patterns
SJVN,SJVN Ltd.,success,consolidated,2026-09-15T14:14:05.707774,33 KB
SRF,SRF Ltd.,success,consolidated,2026-09-15T14:14:26.040862,33 KB
SAGILITY,Sagility Ltd.,success,consolidated,2026-09-15T14:14:46.245937,32 KB
SAILIFE,Sai Life Sciences Ltd.,success,consolidated,2026-09-15T14:15:06.421252,32 KB
SAMMAANCAP,Sammaan Capital Ltd.,success,consolidated,2026-09-15T14:15:26.662454,33 KB
MOTHERSON,Samvardhana Motherson International Ltd.,success,consolidated,2026-09-15T14:15:47.025158,33 KB
SAPPHIRE,Sapphire Foods India Ltd.,success,consolidated,2026-09-15T14:16:07.372549,32 KB
SARDAEN,Sarda Energy and Minerals Ltd.,success,consolidated,2026-09-15T14:16:27.867218,33 KB
SAREGAMA,Saregama India Ltd,success,consolidated,2026-09-15T14:16:48.312196,32 KB
SCHAEFFLER,Schaeffler India Ltd.,success,consolidated,2026-09-15T14:17:08.478702,31 KB
SCHNEIDER,Schneider Electric Infrastructure Ltd.,success,auto,2026-09-15T15:11:01.455223,32 KB
SCI,Shipping Corporation of India Ltd.,success,consolidated,2026-09-15T14:18:04.362041,33 KB
SHREECEM,Shree Cement Ltd.,success,consolidated,2026-09-15T14:18:24.855919,33 KB
SHRIRAMFIN,Shriram Finance Ltd.,success,consolidated,2026-09-15T14:18:45.248645,33 KB
SHYAMMETL,Shyam Metalics and Energy Ltd.,success,consolidated,2026-09-15T14:19:05.463186,33 KB
ENRIN,Siemens Energy India Ltd.,success,auto,2026-09-15T15:11:23.373984,31 KB
SIEMENS,Siemens Ltd.,success,consolidated,2026-09-15T14:20:01.294244,32 KB
SIGNATURE,Signatureglobal (India) Ltd.,success,consolidated,2026-09-15T14:20:21.422904,32 KB
SOBHA,Sobha Ltd.,success,consolidated,2026-09-15T14:20:41.814955,33 KB
SOLARINDS,Solar Industries India Ltd.,success,consolidated,2026-09-15T14:21:02.278573,33 KB
SONACOMS,Sona BLW Precision Forgings Ltd.,success,consolidated,2026-09-15T14:21:22.565808,33 KB
SONATSOFTW,Sonata Software Ltd.,success,consolidated,2026-09-15T14:21:42.898875,33 KB
STARHEALTH,Star Health and Allied Insurance Company Ltd.,failed,-,2026-09-15T15:12:00.196468,retry failed on all URL patterns
SBIN,State Bank of India,success,consolidated,2026-09-15T14:22:38.809604,33 KB
SAIL,Steel Authority of India Ltd.,success,consolidated,2026-09-15T14:22:59.170804,33 KB
SUMICHEM,Sumitomo Chemical India Ltd.,success,consolidated,2026-09-15T14:23:19.468452,32 KB
SUNPHARMA,Sun Pharmaceutical Industries Ltd.,success,consolidated,2026-09-15T14:23:39.864836,33 KB
SUNTV,Sun TV Network Ltd.,success,consolidated,2026-09-15T14:24:00.157084,32 KB
SUNDARMFIN,Sundaram Finance Ltd.,success,consolidated,2026-09-15T14:24:20.325097,33 KB
SUPREMEIND,Supreme Industries Ltd.,success,consolidated,2026-09-15T14:24:40.628757,33 KB
SPLPETRO,Supreme Petrochem Ltd.,success,consolidated,2026-09-15T14:25:00.688673,31 KB
SUZLON,Suzlon Energy Ltd.,success,consolidated,2026-09-15T14:25:21.079494,33 KB
SWANCORP,Swan Corp Ltd.,success,consolidated,2026-09-15T14:25:41.514661,33 KB
SWIGGY,Swiggy Ltd.,success,consolidated,2026-09-15T14:26:01.489585,32 KB
SYNGENE,Syngene International Ltd.,success,consolidated,2026-09-15T14:26:21.777731,32 KB
SYRMA,Syrma SGS Technology Ltd.,success,consolidated,2026-09-15T14:26:41.986993,32 KB
TBOTEK,TBO Tek Ltd.,success,consolidated,2026-09-15T14:27:02.267657,32 KB
TVSMOTOR,TVS Motor Company Ltd.,success,consolidated,2026-09-15T14:27:22.613827,33 KB
TATACAP,Tata Capital Ltd.,success,consolidated,2026-09-15T14:27:42.700600,32 KB
TATACHEM,Tata Chemicals Ltd.,success,consolidated,2026-09-15T14:28:02.938703,33 KB
TATACOMM,Tata Communications Ltd.,success,consolidated,2026-09-15T14:28:23.306471,33 KB
TCS,Tata Consultancy Services Ltd.,success,consolidated,2026-09-15T14:28:43.643100,32 KB
TATACONSUM,Tata Consumer Products Ltd.,success,consolidated,2026-09-15T14:29:03.935761,33 KB
TATAELXSI,Tata Elxsi Ltd.,success,consolidated,2026-09-15T14:29:24.086353,32 KB
TATAINVEST,Tata Investment Corporation Ltd.,success,consolidated,2026-09-15T14:29:44.415491,32 KB
TMCV,Tata Motors Ltd.,success,consolidated,2026-09-15T14:30:04.318989,31 KB
TMPV,Tata Motors Passenger Vehicles Ltd.,success,consolidated,2026-09-15T14:30:24.707141,33 KB
TATAPOWER,Tata Power Co. Ltd.,success,consolidated,2026-09-15T14:30:45.048517,33 KB
TATASTEEL,Tata Steel Ltd.,success,consolidated,2026-09-15T14:31:05.484944,33 KB
TATATECH,Tata Technologies Ltd.,success,consolidated,2026-09-15T14:31:25.774946,32 KB
TTML,Tata Teleservices (Maharashtra) Ltd.,success,consolidated,2026-09-15T14:31:45.878537,31 KB
TECHM,Tech Mahindra Ltd.,success,consolidated,2026-09-15T14:32:06.209575,32 KB
TECHNOE,Techno Electric & Engineering Company Ltd.,success,consolidated,2026-09-15T14:32:26.529714,32 KB
TEGA,Tega Industries Ltd.,success,consolidated,2026-09-15T14:32:46.841439,32 KB
TEJASNET,Tejas Networks Ltd.,success,consolidated,2026-09-15T14:33:07.158679,33 KB
TENNIND,Tenneco Clean Air India Ltd.,success,consolidated,2026-09-15T14:33:27.277116,31 KB
NIACL,The New India Assurance Company Ltd.,success,consolidated,2026-09-15T14:33:47.549843,32 KB
RAMCOCEM,The Ramco Cements Ltd.,success,consolidated,2026-09-15T14:34:07.896980,33 KB
THERMAX,Thermax Ltd.,success,consolidated,2026-09-15T14:34:28.428723,33 KB
TIMKEN,Timken India Ltd.,success,consolidated,2026-09-15T14:34:48.467395,31 KB
TITAGARH,Titagarh Rail Systems Ltd.,success,consolidated,2026-09-15T14:35:08.886065,33 KB
TITAN,Titan Company Ltd.,success,consolidated,2026-09-15T14:35:29.341470,32 KB
TORNTPHARM,Torrent Pharmaceuticals Ltd.,success,consolidated,2026-09-15T14:35:49.686649,33 KB
TORNTPOWER,Torrent Power Ltd.,success,consolidated,2026-09-15T14:36:10.081476,33 KB
TARIL,Transformers And Rectifiers (India) Ltd.,success,consolidated,2026-09-15T14:36:30.506372,32 KB
TRAVELFOOD,Travel Food Services Ltd.,success,consolidated,2026-09-15T14:36:50.722939,32 KB
TRENT,Trent Ltd.,success,consolidated,2026-09-15T14:37:10.943050,33 KB
TRIDENT,Trident Ltd.,success,consolidated,2026-09-15T14:37:31.377738,33 KB
TRITURBINE,Triveni Turbine Ltd.,success,consolidated,2026-09-15T14:37:51.808217,32 KB
TIINDIA,Tube Investments of India Ltd.,success,consolidated,2026-09-15T14:38:12.188224,33 KB
UCOBANK,UCO Bank,success,consolidated,2026-09-15T14:38:32.193029,32 KB
UNOMINDA,UNO Minda Ltd.,success,consolidated,2026-09-15T14:38:52.520579,33 KB
UPL,UPL Ltd.,success,consolidated,2026-09-15T14:39:12.845261,32 KB
UTIAMC,UTI Asset Management Company Ltd.,success,consolidated,2026-09-15T14:39:33.146569,32 KB
ULTRACEMCO,UltraTech Cement Ltd.,success,consolidated,2026-09-15T14:39:53.619237,33 KB
UNIONBANK,Union Bank of India,success,consolidated,2026-09-15T14:40:14.016223,33 KB
UBL,United Breweries Ltd.,success,consolidated,2026-09-15T14:40:34.371868,33 KB
UNITDSPR,United Spirits Ltd.,success,consolidated,2026-09-15T14:40:54.726275,32 KB
URBANCO,Urban Company Ltd.,success,consolidated,2026-09-15T14:41:14.890861,32 KB
USHAMART,Usha Martin Ltd.,success,consolidated,2026-09-15T14:41:35.203864,33 KB
VTL,Vardhman Textiles Ltd.,success,consolidated,2026-09-15T14:41:55.681679,33 KB
VBL,Varun Beverages Ltd.,success,consolidated,2026-09-15T14:42:16.007305,33 KB
VEDL,Vedanta Ltd.,success,consolidated,2026-09-15T14:42:36.330786,32 KB
VIJAYA,Vijaya Diagnostic Centre Ltd.,success,consolidated,2026-09-15T14:42:56.575634,32 KB
VMM,Vishal Mega Mart Ltd.,success,consolidated,2026-09-15T14:43:16.671057,32 KB
IDEA,Vodafone Idea Ltd.,success,consolidated,2026-09-15T14:43:36.950060,33 KB
VOLTAS,Voltas Ltd.,success,consolidated,2026-09-15T14:43:57.312472,33 KB
WAAREEENER,Waaree Energies Ltd.,success,consolidated,2026-09-15T14:44:17.471421,32 KB
WELCORP,Welspun Corp Ltd.,success,consolidated,2026-09-15T14:44:37.766026,33 KB
WELSPUNLIV,Welspun Living Ltd.,success,consolidated,2026-09-15T14:44:58.195060,33 KB
WHIRLPOOL,Whirlpool of India Ltd.,success,consolidated,2026-09-15T14:45:18.409813,32 KB
WIPRO,Wipro Ltd.,success,consolidated,2026-09-15T14:45:38.768184,33 KB
WOCKPHARMA,Wockhardt Ltd.,success,consolidated,2026-09-15T14:45:59.101257,32 KB
YESBANK,Yes Bank Ltd.,success,consolidated,2026-09-15T14:46:19.486781,33 KB
ZFCVINDIA,ZF Commercial Vehicle Control Systems India Ltd.,success,consolidated,2026-09-15T14:46:39.581102,32 KB
ZEEL,Zee Entertainment Enterprises Ltd.,success,consolidated,2026-09-15T14:46:59.968078,32 KB
ZENTEC,Zen Technologies Ltd.,success,consolidated,2026-09-15T14:47:20.345566,32 KB
ZENSARTECH,Zensar Technolgies Ltd.,success,consolidated,2026-09-15T14:47:40.654937,32 KB
ZYDUSLIFE,Zydus Lifesciences Ltd.,success,consolidated,2026-09-15T14:48:00.891110,32 KB
ZYDUSWELL,Zydus Wellness Ltd.,success,consolidated,2026-09-15T14:48:21.233940,32 KB
ECLERX,eClerx Services Ltd.,success,consolidated,2026-09-15T14:48:41.585607,32 KB
